Record Time,1st trip from,1st trip to,1st trip cost,2nd trip from,2nd trip to,2nd trip cost,total cost
2022-05-28 15:21:17.540314,GRU,DTW,none,AMA,BQK,none,flights/airport not found
2022-05-28 15:21:23.366029,GRU,DTW,none,AMA,BRD,none,flights/airport not found
2022-05-28 15:21:53.558720,GRU,DTW,3184.0,AMA,BRL,3184.0,"$3,183.54"
2022-05-28 15:22:30.261958,GRU,DTW,1384.0,AMA,BRO,1384.0,"$1,384.00"
2022-05-28 15:22:32.796832,GRU,DTW,none,AMA,BTL,none,flights/airport not found
2022-05-28 15:23:05.785877,GRU,DTW,1820.0,AMA,BTM,1820.0,"$1,819.76"
2022-05-28 15:23:44.397795,GRU,DTW,1288.0,AMA,BTR,1288.0,"$1,287.18"
2022-05-28 15:24:34.796075,GRU,DTW,1165.0,AMA,BTV,1165.0,"$1,164.57"
2022-05-28 15:25:12.256458,GRU,DTW,1467.0,AMA,BUR,1467.0,"$1,466.11"
2022-05-28 15:25:14.209517,GRU,DTW,none,AMA,BVI,none,flights/airport not found
2022-05-28 15:25:15.799760,GRU,DTW,none,AMA,BVY,none,flights/airport not found
2022-05-28 15:25:17.683468,GRU,DTW,none,AMA,BWG,none,flights/airport not found
2022-05-28 15:25:19.423839,GRU,DTW,none,AMA,BYH,none,flights/airport not found
2022-05-28 15:25:21.197386,GRU,DTW,none,AMA,BYI,none,flights/airport not found
2022-05-28 15:25:23.020922,GRU,DTW,none,AMA,BYS,none,flights/airport not found
2022-05-28 15:25:56.903061,GRU,DTW,1460.0,AMA,BZN,1460.0,"$1,459.24"
2022-05-28 15:26:46.147963,GRU,DTW,1064.0,AMA,CAK,1064.0,"$1,063.98"
2022-05-28 15:26:52.924907,GRU,DTW,none,AMA,CAR,none,flights/airport not found
2022-05-28 15:26:55.034504,GRU,DTW,none,AMA,CCY,none,flights/airport not found
2022-05-28 15:27:01.183498,GRU,DTW,none,AMA,CDC,none,flights/airport not found
2022-05-28 15:27:33.999239,GRU,DTW,3275.0,AMA,CDR,3275.0,"$3,274.74"
2022-05-28 15:27:35.629879,GRU,DTW,none,AMA,CDS,none,flights/airport not found
2022-05-28 15:27:37.148489,GRU,DTW,none,AMA,CEC,none,flights/airport not found
2022-05-28 15:27:38.744107,GRU,DTW,none,AMA,CEF,none,flights/airport not found
2022-05-28 15:27:40.228436,GRU,DTW,none,AMA,CEW,none,flights/airport not found
2022-05-28 15:27:41.865691,GRU,DTW,none,AMA,CGF,none,flights/airport not found
2022-05-28 15:28:21.099516,GRU,DTW,1091.0,AMA,CGI,1091.0,"$1,090.42"
2022-05-28 15:29:08.435444,GRU,DTW,1191.0,AMA,CHO,1191.0,"$1,190.06"
2022-05-28 15:29:15.221050,GRU,DTW,none,AMA,CIU,none,flights/airport not found
2022-05-28 15:29:57.257760,GRU,DTW,1214.0,AMA,CKB,1214.0,"$1,213.23"
2022-05-28 15:30:03.569443,GRU,DTW,none,AMA,CLL,none,flights/airport not found
2022-05-28 15:30:05.295328,GRU,DTW,none,AMA,CLM,none,flights/airport not found
2022-05-28 15:30:11.828521,GRU,DTW,none,AMA,CMI,none,flights/airport not found
2022-05-28 15:30:56.141927,GRU,DTW,1091.0,AMA,CMX,1091.0,"$1,090.57"
2022-05-28 15:31:03.093410,GRU,DTW,none,AMA,CNM,none,flights/airport not found
2022-05-28 15:31:05.203969,GRU,DTW,none,AMA,CNU,none,flights/airport not found
2022-05-28 15:31:37.352589,GRU,DTW,1427.0,AMA,COD,1427.0,"$1,426.74"
2022-05-28 15:31:39.395666,GRU,DTW,none,AMA,COE,none,flights/airport not found
2022-05-28 15:32:12.466105,GRU,DTW,6624.0,AMA,COF,6624.0,"$6,635.76"
2022-05-28 15:32:47.305060,GRU,DTW,5895.0,AMA,CON,5895.0,"$5,894.22"
2022-05-28 15:32:53.494774,GRU,DTW,none,AMA,COU,none,flights/airport not found
2022-05-28 15:33:28.537615,GRU,DTW,1426.0,AMA,CPR,1426.0,"$1,425.46"
2022-05-28 15:33:35.220457,GRU,DTW,none,AMA,CRE,none,flights/airport not found
2022-05-28 15:33:37.180984,GRU,DTW,none,AMA,CRG,none,flights/airport not found
2022-05-28 15:33:38.988260,GRU,DTW,none,AMA,CRQ,none,flights/airport not found
2022-05-28 15:33:45.323675,GRU,DTW,none,AMA,CSG,none,flights/airport not found
2022-05-28 15:33:47.236247,GRU,DTW,none,AMA,CSV,none,flights/airport not found
2022-05-28 15:33:49.307973,GRU,DTW,none,AMA,CTB,none,flights/airport not found
2022-05-28 15:33:51.190872,GRU,DTW,none,AMA,CUB,none,flights/airport not found
2022-05-28 15:33:52.973551,GRU,DTW,none,AMA,CVO,none,flights/airport not found
2022-05-28 15:33:59.300313,GRU,DTW,none,AMA,CWA,none,flights/airport not found
2022-05-28 15:34:01.328514,GRU,DTW,none,AMA,CXO,none,flights/airport not found
2022-05-28 15:34:32.348756,GRU,DTW,1984.0,AMA,CYS,1984.0,"$1,983.87"
2022-05-28 15:34:36.049699,GRU,DTW,none,AMA,DAA,none,flights/airport not found
2022-05-28 15:34:37.787121,GRU,DTW,none,AMA,DAG,none,flights/airport not found
2022-05-28 15:34:44.163386,GRU,DTW,none,AMA,DAN,none,flights/airport not found
2022-05-28 15:36:21.000932,GRU,DTW,none,AMA,DAN,none,flights/airport not found
2022-05-28 15:36:54.649333,GRU,DTW,1806.0,AMA,DDC,1806.0,"$1,805.76"
2022-05-28 15:37:34.398418,GRU,DTW,1144.0,AMA,DEC,1144.0,"$1,143.95"
2022-05-28 15:38:15.614146,GRU,DTW,1291.0,AMA,DET,1291.0,"$1,290.73"
2022-05-28 15:38:22.026656,GRU,DTW,none,AMA,DHN,none,flights/airport not found
2022-05-28 15:38:24.326826,GRU,DTW,none,AMA,DHT,none,flights/airport not found
